,learning_rate,weight_decay,epoch,batch_size,average_valid_rmse
0,5,0.0,50,256,0.48724166452884676
1,5,0.0,50,512,0.8014948189258575
2,5,0.0,50,1024,1.1576326489448547
3,5,0.0,100,256,0.25955426692962646
4,5,0.0,100,512,0.408956441283226
5,5,0.0,100,1024,0.6041221588850021
6,5,0.0,500,256,0.14797287285327912
7,5,0.0,500,512,0.14837831556797026
8,5,0.0,500,1024,0.1647411346435547
9,5,0.001,50,256,0.48731657266616824
10,5,0.001,50,512,0.8015988558530808
11,5,0.001,50,1024,1.1577504396438598
12,5,0.001,100,256,0.2596611887216568
13,5,0.001,100,512,0.4090276509523392
14,5,0.001,100,1024,0.6041996330022812
15,5,0.001,500,256,0.14821257591247558
16,5,0.001,500,512,0.14856172502040862
17,5,0.001,500,1024,0.1650264620780945
18,5,0.01,50,256,0.487369629740715
19,5,0.01,50,512,0.8016564726829529
20,5,0.01,50,1024,1.1577975273132324
21,5,0.01,100,256,0.2597989708185196
22,5,0.01,100,512,0.4090776413679123
23,5,0.01,100,1024,0.6042697101831436
24,5,0.01,500,256,0.1475534439086914
25,5,0.01,500,512,0.14836187660694122
26,5,0.01,500,1024,0.16521659940481187
27,5,0.1,50,256,0.48818413615226747
28,5,0.1,50,512,0.8022858202457428
29,5,0.1,50,1024,1.1582167863845825
30,5,0.1,100,256,0.26262054443359373
31,5,0.1,100,512,0.41029423475265503
32,5,0.1,100,1024,0.6050872802734375
33,5,0.1,500,256,0.153433221578598
34,5,0.1,500,512,0.15598308742046357
35,5,0.1,500,1024,0.17224828749895096
36,10,0.0,50,256,0.25810293555259706
37,10,0.0,50,512,0.40509500801563264
38,10,0.0,50,1024,0.5976795017719269
39,10,0.0,100,256,0.16214567720890044
40,10,0.0,100,512,0.225428906083107
41,10,0.0,100,1024,0.31241249442100527
42,10,0.0,500,256,0.15296441018581391
43,10,0.0,500,512,0.1527436912059784
44,10,0.0,500,1024,0.15490958094596863
45,10,0.001,50,256,0.25820921659469603
46,10,0.001,50,512,0.40516522228717805
47,10,0.001,50,1024,0.5977614343166351
48,10,0.001,100,256,0.16228875815868377
49,10,0.001,100,512,0.22552037239074707
50,10,0.001,100,1024,0.31250927448272703
51,10,0.001,500,256,0.15319269597530366
52,10,0.001,500,512,0.15248451828956605
53,10,0.001,500,1024,0.15480162799358368
54,10,0.01,50,256,0.258339861035347
55,10,0.01,50,512,0.405210542678833
56,10,0.01,50,1024,0.5978209376335144
57,10,0.01,100,256,0.16250081360340118
58,10,0.01,100,512,0.22568084299564362
59,10,0.01,100,1024,0.31263806521892545
60,10,0.01,500,256,0.14940308332443236
61,10,0.01,500,512,0.14958070516586303
62,10,0.01,500,1024,0.1523163139820099
63,10,0.1,50,256,0.2611233562231064
64,10,0.1,50,512,0.40635024905204775
65,10,0.1,50,1024,0.5985549509525299
66,10,0.1,100,256,0.16847045719623566
67,10,0.1,100,512,0.23034889698028566
68,10,0.1,100,1024,0.3153701275587082
69,10,0.1,500,256,0.15098775327205657
70,10,0.1,500,512,0.15416406095027924
71,10,0.1,500,1024,0.15840222537517548
